datetime;temperature;humidity;pressure;magnetic;wind
2008-06-18, 15:00;28;39;740;Геомагнитное поле спокойное;Ветер 3 м/с
2008-06-19, 09:00;19;63;741;Геомагнитное поле спокойное;Ветер юго-восточный 2 м/с
2008-06-19, 15:00;30;27;741;Геомагнитное поле спокойное;Ветер южный 2-5 м/с
2008-06-20, 09:00;21;50;740;Геомагнитное поле спокойное;Ветер южный - 1 м/с
2008-06-20, 15:00;32;31;740;Геомагнитное поле спокойное;Ветер юго-западный 3-7 м/с
2008-06-21, 09:00;22;72;740;Геомагнитное поле спокойное;Ветер северо-западный 2-3м/с
2008-06-21, 15:00;27;49;739;Геомагнитное поле спокойное;Ветер Западный 2-4 м/с
2008-06-22, 09:00;20;64;740;Геомагнитное поле спокойное;Ветер северо-восточный 1-3 м/с
2008-06-22, 15:00;25;50;740;Геомагнитное поле спокойное;Ветер cеверо-восточный 2-4 м/с
2008-06-23, 09:00;20;61;740;Геомагнитное поле спокойное;Ветер восточный 2 м/с
2008-06-23, 15:00;25;46;740;Геомагнитное поле спокойное;Ветер юго-восточный 1-3 м/с
2008-06-24, 09:00;20;67;739;Геомагнитное поле спокойное;Ветер юго-восточный 1-3м/с
2008-06-24, 15:00;27;38;739;Геомагнитное поле спокойное;Ветер юго-восточный 1-3 м/с
2008-06-25, 09:00;20;62;737;Геомагнитное поле спокойное;Ветер юго-восточный 1м/с
2008-06-25, 14:00;27;51;736;Геомагнитное поле спокойное;Ветер юго-восточный 5-10
2008-06-26, 09:00;19;51;732;Геомагнитное поле спокойное;Ветер юго-восточный 2 м/с
2008-06-26, 15:00;18;83;733;Геомагнитное поле спокойное;Ветер южный 2 м/с
2008-06-27, 09:00;19;71;731;Геомагнитное поле спокойное;Ветер северный 1м/с
2008-06-27, 15:00;25;49;731;Геомагнитное поле спокойное;Ветер Северо-западный 1-3
2008-06-28, 09:00;14;95;730;Геомагнитное поле спокойное;Ветер северо-западный 2-5м/с
2008-06-28, 15:00;15;94;731;Геомагнитное поле спокойное;Ветер северо-западный 3-8 м/с
